FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1215	454	356	439	452	645	1230	0	4791	
3 a.m. to 5:59 a.m.	688	297	275	301	354	374	707	0	2996	
6 a.m. to 8:59 a.m.	406	595	534	603	513	549	548	0	3748	
9 a.m. to 11:59 a.m.	481	511	531	528	526	572	648	0	3797	
Noon to 2:59 p.m.	781	708	712	679	694	702	769	0	5045	
3 p.m. to 5:59 p.m.	960	854	861	859	888	1019	963	0	6404	
6 p.m. to 8:59 p.m.	899	683	754	767	745	1016	1037	0	5901	
9 p.m. to 11:59 p.m.	647	571	623	641	718	1103	1090	0	5393	
Unknown	88	49	32	42	45	44	83	19	402	
Total	6165	4722	4678	4859	4935	6024	7075	19	38477	
