FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1239	438	358	413	446	589	1249	0	4732	
3 a.m. to 5:59 a.m.	702	286	267	272	315	350	694	0	2886	
6 a.m. to 8:59 a.m.	409	561	531	525	554	604	529	0	3713	
9 a.m. to 11:59 a.m.	477	561	537	523	534	571	600	0	3803	
Noon to 2:59 p.m.	713	681	685	677	653	828	766	0	5003	
3 p.m. to 5:59 p.m.	936	887	869	844	785	1025	928	0	6274	
6 p.m. to 8:59 p.m.	904	717	704	691	770	1002	1041	0	5829	
9 p.m. to 11:59 p.m.	593	607	608	629	728	1114	1048	0	5327	
Unknown	68	42	25	28	27	38	50	17	295	
Total	6041	4780	4584	4602	4812	6121	6905	17	37862	
