FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1076	318	270	329	424	528	1027	0	3972	
3 a.m. to 5:59 a.m.	638	246	222	259	277	337	615	0	2594	
6 a.m. to 8:59 a.m.	323	451	391	403	433	431	378	0	2810	
9 a.m. to 11:59 a.m.	392	419	409	375	396	451	496	0	2938	
Noon to 2:59 p.m.	558	572	542	495	528	621	673	0	3989	
3 p.m. to 5:59 p.m.	701	687	680	664	658	763	794	0	4947	
6 p.m. to 8:59 p.m.	770	628	597	628	681	810	886	0	5000	
9 p.m. to 11:59 p.m.	528	449	483	540	592	893	882	0	4367	
Unknown	30	29	28	39	28	36	55	0	245	
Total	5016	3799	3622	3732	4017	4870	5806	0	30862	
