FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1249	382	347	391	472	583	1339	0	4763	
3 a.m. to 5:59 a.m.	653	273	231	267	299	386	674	0	2783	
6 a.m. to 8:59 a.m.	335	544	529	513	520	561	433	0	3435	
9 a.m. to 11:59 a.m.	439	535	477	471	475	528	578	0	3503	
Noon to 2:59 p.m.	662	704	668	645	658	763	697	0	4797	
3 p.m. to 5:59 p.m.	850	809	841	793	880	1075	996	0	6244	
6 p.m. to 8:59 p.m.	882	742	694	720	789	1090	1009	0	5926	
9 p.m. to 11:59 p.m.	722	576	585	614	708	1143	1096	1	5445	
Unknown	73	42	27	17	55	46	73	12	345	
Total	5865	4607	4399	4431	4856	6175	6895	13	37241	
