FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1184	413	324	393	433	575	1215	1	4538	
3 a.m. to 5:59 a.m.	683	295	262	255	283	388	660	0	2826	
6 a.m. to 8:59 a.m.	429	564	532	617	542	566	501	0	3751	
9 a.m. to 11:59 a.m.	464	553	526	495	526	581	587	1	3733	
Noon to 2:59 p.m.	719	718	598	665	661	759	789	0	4909	
3 p.m. to 5:59 p.m.	842	841	846	855	869	1045	950	0	6248	
6 p.m. to 8:59 p.m.	829	708	706	743	741	967	1012	0	5706	
9 p.m. to 11:59 p.m.	629	563	582	576	690	996	1079	0	5115	
Unknown	69	26	31	31	37	45	73	2	314	
Total	5848	4681	4407	4630	4782	5922	6866	4	37140	
