FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1282	429	372	441	526	639	1325	0	5014	
3 a.m. to 5:59 a.m.	714	325	270	324	346	420	767	0	3166	
6 a.m. to 8:59 a.m.	417	585	566	615	572	598	527	1	3881	
9 a.m. to 11:59 a.m.	470	564	513	539	512	578	569	0	3745	
Noon to 2:59 p.m.	730	704	674	673	713	774	805	0	5073	
3 p.m. to 5:59 p.m.	938	913	886	828	854	1017	1052	0	6488	
6 p.m. to 8:59 p.m.	930	800	732	764	803	1016	1120	0	6165	
9 p.m. to 11:59 p.m.	683	590	601	647	715	1094	1080	0	5410	
Unknown	64	41	34	33	29	38	62	9	310	
Total	6228	4951	4648	4864	5070	6174	7307	10	39252	
