FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1221	388	382	373	444	597	1272	0	4677	
3 a.m. to 5:59 a.m.	729	279	270	296	333	376	735	0	3018	
6 a.m. to 8:59 a.m.	449	543	549	548	563	574	485	0	3711	
9 a.m. to 11:59 a.m.	462	565	499	480	516	596	596	0	3714	
Noon to 2:59 p.m.	714	695	658	664	682	761	728	0	4902	
3 p.m. to 5:59 p.m.	882	833	854	841	911	1010	926	0	6257	
6 p.m. to 8:59 p.m.	841	757	676	742	749	1001	992	0	5758	
9 p.m. to 11:59 p.m.	657	530	575	598	651	1025	1118	0	5154	
Unknown	72	41	36	24	28	53	76	5	335	
Total	6027	4631	4499	4566	4877	5993	6928	5	37526	
