FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1394	456	348	430	479	607	1257	0	4971	
3 a.m. to 5:59 a.m.	785	354	259	325	331	408	715	0	3177	
6 a.m. to 8:59 a.m.	361	530	527	557	530	573	498	0	3576	
9 a.m. to 11:59 a.m.	456	503	463	501	489	531	554	0	3497	
Noon to 2:59 p.m.	696	688	662	647	591	713	804	0	4801	
3 p.m. to 5:59 p.m.	873	878	818	779	812	913	912	0	5985	
6 p.m. to 8:59 p.m.	916	757	683	766	732	913	1052	0	5819	
9 p.m. to 11:59 p.m.	669	605	569	634	657	1099	1051	0	5284	
Unknown	55	37	29	38	36	49	81	0	325	
Total	6205	4808	4358	4677	4657	5806	6924	0	37435	
