FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1198	408	344	403	445	583	1191	0	4572	
3 a.m. to 5:59 a.m.	646	255	250	257	296	311	655	0	2670	
6 a.m. to 8:59 a.m.	409	572	550	576	571	579	451	0	3708	
9 a.m. to 11:59 a.m.	431	554	488	523	500	608	585	0	3689	
Noon to 2:59 p.m.	698	622	653	715	686	797	798	0	4969	
3 p.m. to 5:59 p.m.	870	854	848	871	864	961	920	0	6188	
6 p.m. to 8:59 p.m.	909	702	696	788	763	1002	1058	0	5918	
9 p.m. to 11:59 p.m.	644	529	561	690	700	1139	1008	0	5271	
Unknown	78	29	34	31	41	44	64	18	339	
Total	5883	4525	4424	4854	4866	6024	6730	18	37324	
