	Day of Week	
FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	

Midnight to 2:59 a.m.	1376	446	401	408	494	619	1286	0	5030	
3 a.m. to 5:59 a.m.	788	306	294	332	354	408	739	0	3221	
6 a.m. to 8:59 a.m.	459	584	593	587	591	540	506	0	3860	
9 a.m. to 11:59 a.m.	468	532	512	484	516	569	601	0	3682	
Noon to 2:59 p.m.	792	699	657	683	649	728	781	0	4989	
3 p.m. to 5:59 p.m.	837	797	856	748	830	979	966	0	6013	
6 p.m. to 8:59 p.m.	938	754	788	777	769	989	1015	0	6030	
9 p.m. to 11:59 p.m.	756	564	577	658	724	1127	1109	0	5515	
Unknown	70	48	31	37	26	38	58	0	308	
Total	6484	4730	4709	4714	4953	5997	7061	0	38648	
