FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1228	426	331	402	492	610	1253	0	4742	
3 a.m. to 5:59 a.m.	674	276	242	284	314	343	646	0	2779	
6 a.m. to 8:59 a.m.	369	556	532	508	528	581	489	0	3563	
9 a.m. to 11:59 a.m.	449	552	554	426	512	585	562	0	3640	
Noon to 2:59 p.m.	627	668	672	670	678	771	675	0	4761	
3 p.m. to 5:59 p.m.	832	901	897	872	904	968	948	0	6322	
6 p.m. to 8:59 p.m.	832	732	732	717	803	1028	1045	0	5889	
9 p.m. to 11:59 p.m.	626	620	641	652	709	1101	1123	0	5472	
Unknown	58	40	37	27	38	45	65	16	326	
Total	5695	4771	4638	4558	4978	6032	6806	16	37494	
