FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1211	400	322	380	507	531	1220	0	4571	
3 a.m. to 5:59 a.m.	641	269	257	266	333	329	629	0	2724	
6 a.m. to 8:59 a.m.	383	570	556	560	517	503	495	0	3584	
9 a.m. to 11:59 a.m.	480	544	561	526	494	559	610	0	3774	
Noon to 2:59 p.m.	645	719	682	706	701	802	719	0	4974	
3 p.m. to 5:59 p.m.	884	840	887	822	897	1017	868	1	6216	
6 p.m. to 8:59 p.m.	848	684	721	710	824	985	1029	0	5801	
9 p.m. to 11:59 p.m.	582	562	576	592	678	1100	1047	1	5138	
Unknown	64	22	38	30	41	43	73	14	325	
Total	5738	4610	4600	4592	4992	5869	6690	16	37107	
