	Day of Week	
FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	

Midnight to 2:59 a.m.	984	323	262	310	399	545	959	0	3782	
3 a.m. to 5:59 a.m.	625	260	211	253	272	350	555	0	2526	
6 a.m. to 8:59 a.m.	326	422	465	433	433	443	432	0	2954	
9 a.m. to 11:59 a.m.	348	441	412	412	449	451	458	0	2971	
Noon to 2:59 p.m.	552	551	497	510	532	682	638	0	3962	
3 p.m. to 5:59 p.m.	690	684	615	653	686	790	777	0	4895	
6 p.m. to 8:59 p.m.	720	655	594	608	635	805	803	0	4820	
9 p.m. to 11:59 p.m.	517	431	472	517	551	824	856	0	4168	
Unknown	47	24	25	22	29	28	43	0	218	
Total	4809	3791	3553	3718	3986	4918	5521	0	30296	
