FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1284	431	352	391	446	560	1294	0	4758	
3 a.m. to 5:59 a.m.	593	280	230	223	270	361	686	0	2643	
6 a.m. to 8:59 a.m.	371	470	503	521	504	560	458	0	3387	
9 a.m. to 11:59 a.m.	399	545	487	524	480	519	527	0	3481	
Noon to 2:59 p.m.	657	654	635	676	630	752	760	0	4764	
3 p.m. to 5:59 p.m.	820	848	806	841	866	976	878	1	6036	
6 p.m. to 8:59 p.m.	887	651	681	675	736	1012	1051	1	5694	
9 p.m. to 11:59 p.m.	687	597	516	598	640	1139	1014	0	5191	
Unknown	62	35	30	27	30	45	60	11	300	
Total	5760	4511	4240	4476	4602	5924	6728	13	36254	
