FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1050	313	278	331	380	477	988	0	3817	
3 a.m. to 5:59 a.m.	611	290	240	247	299	310	563	0	2560	
6 a.m. to 8:59 a.m.	344	448	405	429	444	463	417	0	2950	
9 a.m. to 11:59 a.m.	391	426	426	425	423	446	445	0	2982	
Noon to 2:59 p.m.	540	532	543	547	554	614	643	0	3973	
3 p.m. to 5:59 p.m.	701	701	636	735	678	722	791	0	4964	
6 p.m. to 8:59 p.m.	782	646	661	622	631	794	867	0	5003	
9 p.m. to 11:59 p.m.	545	498	501	535	554	804	873	0	4310	
Unknown	53	35	23	28	27	30	45	0	241	
Total	5017	3889	3713	3899	3990	4660	5632	0	30800	
