FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1190	384	351	409	426	578	1180	0	4518	
3 a.m. to 5:59 a.m.	675	269	308	284	273	332	649	0	2790	
6 a.m. to 8:59 a.m.	344	508	494	504	468	511	418	0	3247	
9 a.m. to 11:59 a.m.	419	459	471	439	448	519	547	0	3302	
Noon to 2:59 p.m.	624	604	637	557	571	676	704	0	4373	
3 p.m. to 5:59 p.m.	807	725	754	692	704	844	827	0	5353	
6 p.m. to 8:59 p.m.	824	648	647	662	754	870	963	0	5368	
9 p.m. to 11:59 p.m.	630	514	532	610	661	1049	969	0	4965	
Unknown	42	30	36	31	28	36	52	1	256	
Total	5555	4141	4230	4188	4333	5415	6309	1	34172	
