FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	
Midnight to 2:59 a.m.	1282	415	338	406	525	617	1181	0	4764	
3 a.m. to 5:59 a.m.	695	342	285	291	355	379	702	0	3049	
6 a.m. to 8:59 a.m.	388	603	552	556	565	577	475	0	3716	
9 a.m. to 11:59 a.m.	493	546	485	553	538	588	618	0	3821	
Noon to 2:59 p.m.	708	686	691	702	680	847	821	0	5135	
3 p.m. to 5:59 p.m.	952	844	801	839	856	1006	962	1	6261	
6 p.m. to 8:59 p.m.	951	736	730	773	823	1019	1001	0	6033	
9 p.m. to 11:59 p.m.	686	565	557	602	716	1076	1113	0	5315	
Unknown	76	32	34	31	39	51	70	17	350	
Total	6231	4769	4473	4753	5097	6160	6943	18	38444	
