Cittadinanza;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Tuvalu;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ucraina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;20;46;68;132;241;309;567;2092;2955;3492;3631;3918;4788;5728;6913;7820
Uganda;4;3;4;8;10;7;3;1;1;1;1;1;7;0;3;4;6;6;7;10;8;11;9;9;6;8;7;12;14;15;14;14;13;13
Ungheria;158;158;162;165;203;201;203;202;171;177;167;154;78;0;156;166;161;165;169;168;163;180;187;184;98;112;132;144;156;167;186;192;205;220
Uruguay;82;86;91;93;89;89;83;76;106;116;114;175;125;0;208;213;208;208;215;243;239;251;272;252;129;149;173;167;177;168;178;180;193;207
Uzbekistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;5;6;9;9;11;16;15;18;19;16;19;25;21;30
Venezuela;76;76;78;104;123;104;106;106;96;91;87;91;83;0;123;122;124;129;135;157;170;204;231;228;164;206;236;252;241;248;283;303;316;358
Vietnam;49;54;61;70;79;73;74;67;46;46;45;41;18;0;43;45;40;38;4;4;27;28;30;23;5;8;9;10;16;14;23;24;24;22
Yemen;1;1;1;1;1;1;1;1;4;4;4;5;3;0;6;6;6;6;6;6;6;6;6;7;3;3;3;4;4;4;4;4;5;1
Zambia;4;5;5;5;5;2;2;3;2;2;3;3;0;0;3;3;3;3;3;3;3;3;3;2;1;1;1;1;2;5;5;4;6;8
Zimbabwe (Rhodesia);4;2;2;3;4;4;4;4;0;0;0;0;4;0;1;2;1;2;3;3;3;3;3;2;0;1;2;2;2;3;5;6;5;9
